term,term_id
18th,0
centuri,1
build,2
rustic,3
yet,4
eleg,5
atmospher,6
particular,7
attent,8
tabl,9
cuisin,10
tradit,11
base,12
also,13
know,14
add,15
imagin,16
variat,17
tuck,18
away,19
short,20
arcad,21
old,22
road,23
milan,24
como,25
restaur,26
simpl,27
minimalist,28
style,29
bar,30
diner,31
watch,32
skil,33
chef,34
slice,35
prepar,36
fish,37
set,38
menu,39
domin,40
lunchtim,41
even,42
à,43
la,44
cart,45
option,46
includ,47
sukiyaki,48
celebratori,49
dish,50
japan,51
occupi,52
13c,53
post,54
hous,55
part,56
stafler,57
hotel,58
mean,59
guestroom,60
avail,61
want,62
drive,63
home,64
dinner,65
intim,66
gourmet,67
five,68
laid,69
romant,70
stube,71
decor,72
wood,73
date,74
back,75
mediev,76
time,77
peter,78
girtler,79
offer,80
guest,81
one,82
tast,83
choos,84
four,85
six,86
cours,87
featur,88
array,89
creativ,90
full,91
differ,92
ingredi,93
colour,94
combin,95
meat,96
veget,97
situat,98
small,99
garden,100
histor,101
centr,102
modern,103
bistro,104
light,105
airi,106
feel,107
thank,108
larg,109
window,110
outdoor,111
perfect,112
alfresco,113
dine,114
summer,115
young,116
kitchen,117
staff,118
supervis,119
talent,120
plenti,121
experi,122
behind,123
serv,124
contemporari,125
individu,126
flavour,127
aperitifstyl,128
6,129
8pm,130
although,131
tourist,132
enzo,133
coccia’,134
pizzeria,135
continu,136
consid,137
best,138
place,139
pizza,140
campania,141
classic,142
neapolitan,143
soft,144
stringi,145
dough,146
top,147
alik,148
“mpustarella”,149
fivegrain,150
wholem,151
flour,152
roll,153
fill,154
compens,155
lack,156
“fritti”,157
first,158
number,159
53,160
join,161
second,162
address,163
94a,164
nearbi,165
run,166
entir,167
famili,168
whose,169
philosophi,170
could,171
sum,172
phrase,173
“from,174
farm,175
fork”,176
fruit,177
mutton,178
lamb,179
pork,180
plu,181
delici,182
breed,183
duck,184
showcas,185
zerokilometr,186
you’r,187
look,188
simpler,189
fare,190
wine,191
caraf,192
inform,193
charm,194
visitor,195
prolong,196
stay,197
cheer,198
attract,199
near,200
parliament,201
roman,202
made,203
interest,204
season,205
there’,206
pleasant,207
space,208
book,209
well,210
advanc,211
unexpect,212
cellar,213
extrem,214
stock,215
topqual,216
it’,217
forti,218
year,219
sinc,220
madonnina,221
open,222
1984,223
moreno,224
cedroni,225
lost,226
touch,227
result,228
becom,229
influenti,230
gener,231
eat,232
remain,233
novelti,234
succe,235
like,236
reflect,237
past,238
futur,239
culinari,240
trend,241
especi,242
seafood,243
new,244
ad,245
regularli,246
often,247
research,248
laboratori,249
next,250
use,251
specialis,252
food,253
technolog,254
two,255
“ricordi,256
dinfanzia,257
mariella,258
19842024”,259
cedroni’,260
great,261
“luca,262
e,263
il,264
viaggio,265
di,266
marco,267
polo”,268
asian,269
middl,270
eastern,271
influenc,272
chef’,273
wife,274
overse,275
excel,276
servic,277
front,278
wonder,279
couple’,280
commit,281
demonstr,282
almost,283
right,284
beach,285
provid,286
infus,287
salti,288
sea,289
air,290
–,291
brilliant,292
idea,293
repres,294
strong,295
connect,296
land,297
list,298
popular,299
select,300
french,301
sparkl,302
never,303
easi,304
find,305
balanc,306
qualiti,307
quantiti,308
town,309
much,310
trail,311
howev,312
da,313
vincenzo,314
succeed,315
ever,316
family’,317
grandfath,318
1958,319
today,320
founder’,321
grandson,322
share,323
grandfather’,324
name,325
helm,326
creat,327
focu,328
mainli,329
pavement,330
street,331
positano,332
choic,333
cocktail,334
supplement,335
onward,336
classi,337
inn,338
manag,339
profession,340
innov,341
castello,342
del,343
nero,344
spectacular,345
12c,346
resid,347
stand,348
magic,349
locat,350
mani,351
make,352
tuscani,353
special,354
visit,355
breathtak,356
view,357
terrac,358
room,359
histori,360
extravirgin,361
oliv,362
oil,363
boast,364
latter,365
main,366
friendli,367
pirro,368
technic,369
alway,370
beauti,371
present,372
befit,373
properti,374
cultiv,375
organ,376
certifi,377
10,378
varieti,379
tomato,380
alongsid,381
tree,382
three,383
“evoluzion,384
vegetali”,385
vegetarian,386
“la,387
terra”,388
take,389
pride,390
“il,391
mare”,392
last,393
least,394
dessert,395
strike,396
extraordinarili,397
sweet,398
delicaci,399
mini,400
cake,401
chocol,402
macaroon,403
coffe,404
follow,405
twist,406
turn,407
uphil,408
surround,409
vineyard,410
woodland,411
climb,412
altitud,413
900m,414
reach,415
geiser,416
